AR,EN,,,,,,,,
مرحبًا بك في CS229 Machine Learning.,Welcome to CS229 Machine Learning.,,,,,,,,
أه بعضكم يعلم أن هذا الفصل قد تم تدريسه في ستانفورد لفترة طويلة.,"Uh, some of you know that this class has been taught at Stanford for a long time.",,,,,,,,
وغالبًا ما تكون هذه هي الدورة,"And this is often the course that, um,",,,,,,,,
"التي أتطلع إلى تدريسها كل عام لأن هذا هو المكان الذي ساعدنا فيه على ما أعتقد ، حيث أصبح","I most look forward to teaching each year because this is where we've helped I think,",,,,,,,,
"العديد من أجيال طلاب جامعة ستانفورد خبراء في التعلم الآلي ، واستمروا في بناء","several generations of Stanford students become experts in machine learning, go on to build",,,,,,,,
العديد من منتجاتهم وخدماتهم  والشركات الناشئة التي أنا,many of their products and services and startups that I'm,,,,,,,,
"متأكد من أن العديد منكم يستخدمونها مسبقًا أو يستخدمونها جميعًا ، أه ، أه ، اليوم.","sure many of you are pre- or all of you are using, uh, uh, today.",,,,,,,,
"حسنًا ، ما أريد فعله اليوم هو قضاء بعض الوقت في الحديث ، آه ، اللوجستيات ،","Um, so what I want to do today was spend some time talking over, uh, logistics,",,,,,,,,
"ثم ، آه ، اقض بعض الوقت ، كما تعلم ،","and then, uh, spend some time, you know,",,,,,,,,
"أعطيك بداية مقدمة ،","giving you a beginning of a intro,",,,,,,,,
تحدث قليلاً عن التعلم الآلي.,talk a little bit about machine learning.,,,,,,,,
حوالي 229.,So about 229.,,,,,,,,
"أم ، كما تعلمون ،","Um, you know,",,,,,,,,
"لقد كنتم جميعًا تقرأون عن الذكاء الاصطناعي في الأخبار ،","all of you have been reading about AI in the news,",,,,,,,,
"أه ، حول التعلم الآلي في الأخبار.","uh, about machine learning in the news.",,,,,,,,
"اممم ، وربما سمعتني أو سمعت آخرين يقولون ، الذكاء الاصطناعي هو الكهرباء الجديدة.","Um, and you probably heard me or others say, AI is the new electricity.",,,,,,,,
أه ظهور الكهرباء وصعودها منذ حوالي مائة عام أحدث,"Uh, the emergence and rise of electricity about 100 years ago,",,,,,,,,
تحولاً في كل صناعة كبرى.,it transformed every major industry.,,,,,,,,
أعتقد أن الذكاء الاصطناعي الذي نسميه بالفعل التعلم الآلي بالنسبة لبقية العالم يبدو أنه يطلق عليه اسم الذكاء الاصطناعي.,I think AI already we call machine learning for the rest of the world seems to call AI.,,,,,,,,
[ضوضاء],[NOISE],,,,,,,,
إن التعلم الآلي,"Um, machine learning and,",,,,,,,,
و الذكاء الاصطناعي والتعلم العميق سيغيران العالم.,and AI and deep learning will change the world.,,,,,,,,
"وآمل أنه من خلال 229 ،","And I hope that through 229,",,,,,,,,
